lat,lon,add,name,,
40.4665778,-79.0440724,"10780 Pennsylvania 56, Armagh, PA 15920, USA",United High School,,
40.94492899999999,-78.96997899999997,"216 North Jefferson Street, Punxsutawney, PA 15767, USA",Punxsutawney Christian High School,,
41.2506938,-78.80272049999996,"100 Alexander Street, Brockway, PA 15824, USA",Brockway Area High School,,
41.1611746,-79.0830924,"Brookville, PA, USA",Brookville Area High School,,
40.9502919,-78.97927649999997,"500 North Findley Street, Punxsutawney, PA 15767, USA",Punxsutawney Area High School,,
40.856591,-80.286474,"501 Crescent Avenue, Ellwood City, PA 16117, USA",Ellwood City High School,,
41.0143525,-80.26074489999996,"2497 Harlansburg Road, New Castle, PA 16105, USA",Laurel High School,,
40.985988,-80.45640300000002,"Mohawk School Road, PA, USA",Mohawk Area High School,,
41.06491279999999,-80.3461696,"3834 Mitchell Road, New Castle, PA 16105, USA",Neshannock High School,,
41.0055289,-80.3400795,"300 East Lincoln Avenue, New Castle, PA 16101, USA",New Castle Area Junior/SENIOR High School,,
40.9713321,-80.31383289999997,"2550 Ellwood Road, New Castle, PA 16101, USA",Shenango High School,,
41.000549,-80.38453600000003,"2106 Camden Avenue, New Castle, PA 16101, USA",Union Area High School,,
41.1236434,-80.3354617,"350 Wood Street, New Wilmington, PA 16142, USA",Wilmington Area High School,,
41.9591946,-78.65886949999998,"81 Interstate Parkway, Bradford, PA 16701, USA",Bradford Area High School,,
41.7174894,-78.83627330000002,"Pennsylvania 321, Kane, PA 16735, USA",Kane Area High School,,
41.9414248,-78.47381480000001,"R L Sweitzer Drive, Duke Center, PA 16729, USA",Otto-Eldred High School,,
41.8162093,-78.2709092,"20 Oak Street, Port Allegany, PA 16743, USA",Port Allegany High School,,
41.8044002,-78.44157139999999,"412 South Mechanic Street, Smethport, PA 16749, USA",Smethport Area High School,,
41.1759652,-80.10937609999996,"233 George Junior Road, Grove City, PA 16127, USA",George Junior Republic School,,
41.2264423,-80.46999470000003,"2120 Shenango Valley Freeway, Hermitage, PA 16148, USA",Kennedy Catholic High School,,
41.4020647,-80.3982135,"12 North Diamond Street, Greenville, PA 16125, USA",Living Word Christian School,,
41.2270025,-80.23978520000003,"Mercer, PA 16137, USA",Youth Educational Services of PA,,
41.4680188,-80.19299590000003,"Old Perry Highway, Hadley, PA 16130, USA",Commodore Perry High School,,
41.2121285,-80.48583759999997,"1600 Roemer Boulevard, Farrell, PA 16121, USA",Farrell High School,,
41.404256,-80.37190900000002,"9 Donation Road, Greenville, PA 16125, USA",Greenville High School,,
41.16204339999999,-80.09734220000001,"511 Highland Avenue, Grove City, PA 16127, USA",Grove City Area High School,,
41.242048,-80.44983869999999,"640 North Hermitage Road, Hermitage, PA 16148, USA",Hickory High School,,
41.3408525,-80.08978300000001,"2482 Mercer Street, Stoneboro, PA 16153, USA",Lakeview High School,,
41.2252695,-80.24613449999998,"545 West Butler Street, Mercer, PA 16137, USA",Mercer Area High School,,
41.3478774,-80.3979018,"531 Reynolds Road, Greenville, PA 16125, USA",Reynolds High School,,
41.2330815,-80.48823979999997,"1129 East State Street, Sharon, PA 16146, USA",Sharon High School,,
41.2549819,-80.4764973,"301 Blue Devil Way, Sharpsville, PA 16150, USA",Sharpsville Area High School,,
41.1732108,-80.44963719999998,"3591 Sharon Road, West Middlesex, PA 16159, USA",West Middlesex High School,,
41.6266912,-78.08925679999999,"Costello Avenue, Austin, PA 16720, USA",Austin Area High School,,
41.77378059999999,-78.01152359999998,"698 Dwight Street, Coudersport, PA 16915, USA",Coudersport High School,,
41.7357056,-77.64287860000002,"27 Bridge Street, Galeton, PA 16922, USA",Galeton High School,,
41.9039569,-77.7619373,"Ulysses, PA 16948, USA",Northern Potter High School,,
41.95909289999999,-78.19199650000002,"Oswayo Street, Shinglehouse, PA 16748, USA",Oswayo Valley High School,,
40.2502411,-78.95190079999998,"125 Christian School Road, Hollsopple, PA 15935, USA",Johnstown Christian High School,,
39.9211037,-78.94747000000001,"1025 Main Street, Berlin, PA 15530, USA",Berlin Brothersvalley High School,,
40.2259079,-78.93561199999999,"300 East Campus Avenue, Davidsville, PA 15928, USA",Conemaugh Township Area High School,,
